location_name_value,location_name_count
HCM - 788 Âu Cơ,6041
AGI - 5-5A-7 Nguyễn Tri Phương,6032
HCM - 329 Phan Huy Ích,6017
NTH - 414-418 Ngô Gia Tự,6006
HCM - 487 Tô Ngọc Vân,5995
LDO - 321 đường 2/4,5987
HCM - 668 Lê Đức Thọ,5986
KGI - 02 Trần Phú,5985
QNG - 169 Hùng Vương,5985
HCM - 172 Lê Văn Việt,5982
LAN - 5 Nguyễn Văn Siêu,5960
DNA - 824 Ngô Quyền,5957
BVT - 305 Nguyễn An Ninh,5955
CMA - 4B - 5 Hùng Vương,5929
ĐTH - 76 Phạm Hữu Lầu,5919
HCM - 107 Mai Xuân Thưởng,5911
QTR - 217 - 219 Trần Hưng Đạo,5899
BDU - 24A Cách Mạng Tháng Tám,5897
PYN - 83-83A Nguyễn Thái Học,5872
BLI - 160-162 Quốc Lộ 1A,5871
AGI - 200 Tỉnh Lộ 942,5866
CMA - 288 Quốc Lộ 1A,5860
QNG - 2 Hai Bà Trưng,5856
KHO -  26 Điện Biên Phủ,5847
HCM - 213-215 Tân Hương,5845
KGI - DT 933,5843
HCM - 121A Nguyễn Duy Trinh,5829
BTH - 270 đường 3 tháng 2,5811
HCM - B148Bis Nguyễn Văn Quá,5809
AGI - 112 Nguyễn Văn Thoại,5807
HCM - 179 Độc Lập,5759
HCM - 16 Nguyễn Văn Thương,5749
HCM - 597 Lê Văn Việt,5749
KHO - 288 Đại Lộ Hùng Vương,5746
HCM - 564A Hương Lộ 2,5744
DON - 32A Hùng Vương,5742
VLO - Nguyễn Văn Thảnh,5740
KHO - 182 Trần Quý Cáp,5725
DNK - 57 Nguyễn Tất Thành,5690
DON - 22 Ấp 114,5684
QNG - 458-460 Nguyễn Nghiêm,5680
BDI - 47 Trần Phú,5673
BTH - 207-209 Thống Nhất,5653
BTH - Khu Dân Cư A2,5648
BDU - 426 Đường 30 tháng 4,5644
HCM - B6/190 Quốc Lộ 50,5639
LAN - 159 - 160 N2,5634
HCM - 827 Âu Cơ,5626
KGI - KP3 TT thứ 11,5623
HCM - 159 Tăng Nhơn Phú,5615
TNI - 308 Tỉnh Lộ 782,5611
KTU - 691 Phan Đình Phùng,5608
HCM - 1842A Huỳnh Tấn Phát,5592
DON - 291 - 293 CMT8,5591
AGI - Thành Thái,5587
LAN - 216 Đỗ Tường Phong,5580
HCM - 257 Nguyễn Thị Đặng,5576
TGI -  Ấp Long Thạnh,5562
LDO - 65 Ngô Quyền,5559
HCM - 77 Quốc Hương,5529
BVT - C50 Tỉnh Lộ 44A,5524
HCM - 484 Lũy Bán Bích,5522
QBI - 01 Tây Hồ,5512
LDO - 109-111 Đường 3/2,5508
BDU - 103 Quốc Lộ 13,5508
HCM - 12/12 Nguyễn Bình,5505
NBI - Go! Ninh Bình,5505
TNI - Quốc Lộ 22,5497
AGI - Nguyễn Hữu Cảnh,5496
HCM - 786 Nguyễn Văn Tạo,5480
HCM - 1084  Đoàn Nguyễn Tuấn,5475
CTO - 50B Hùng Vương,5465
QNA - 179 Điện Biên Phủ,5462
HCM - 311A Thoại Ngọc Hầu,5456
HCM - 1355 Tỉnh lộ 10,5437
HCM - 97-101 Nguyễn Thị Tú,5426
BDU - 802 Đường DB4,5424
ĐTH - 308 Đường 3/2,5419
BDU - 2009 đường D1,5418
BVT - 1107-1109 Đường 30/4,5392
HCM - 2090 Vĩnh Lộc,5376
DON - 537 Cách Mạng Tháng Tám,5376
DON - 2551 Lý Thái Tổ,5353
DNA - 08 Nguyễn Phan Vinh,5344
DON - 63 Quốc Lộ 1A,5341
BLI - 313-315 Trần Phú,5334
HCM - 619 Tô Ngọc Vân,5329
LAN - 30 Quốc Lộ 1A,5323
BDU - 30/2 ĐT 743,5312
DLK - 180 Nguyễn Tất Thành,5305
HCM - 964 Huỳnh Tấn Phát,5276
DLK - 48 Hùng Vương,5230
DON - 337 Đường 30 tháng 4,5228
HCM - 755 Lê Trọng Tấn,5227
KHO - 45A Nguyễn Thị Minh Khai,5224
LAN - 46 Đường Chợ Mới,5203
BDU - Đường D10,5200
HCM - 158 Đặng Văn Bi,5196
DON - DT 768,5195
BTH - 12 Cô Giang,5189
HCM - 510 Nguyễn Thị Minh Khai,5180
HCM - D12/37 Đinh Đức Thiện,5169
TGI - 458/2 Quốc Lộ 1A,5160
HCM - 21 Đường 154,5155
HCM - 129-129A Huỳnh Văn Bánh,5125
HCM - 182 Hòa Bình,5116
BDU - 4/4 Thủ Khoa Huân,5096
BTH - 200 Thủ Khoa Huân,5094
BPH - Quốc Lộ 14,5093
HCM - 47 Tỉnh Lộ 8,5090
QTR - 36 Lê Duẩn,5088
DNA - 1390 Quảng Xương,5084
DON - 3 KP1,5082
TNI - 02-04 Nguyễn Chí Thanh,5079
ĐTH - 96-98 QL80,5074
BDU - KP 1A An Phú,5061
