district_value,district_count
Mộc Hóa,124
Văn Chấn,124
Quận Bình Tân,123
M'Đrắk,123
KBang,123
Thành Phố Huế,123
Vân Canh,122
Yên Lập,121
Quận Hoàng Mai,121
Điện Biên,119
Đăk Pơ,117
Vũ Quang,117
Ngọc Hồi,116
Quận 8,116
Bá Thước,116
Võ Nhai,113
Kiên Hải,111
Thuận Bắc,111
Cao Lộc,110
Sa Pa,110
Bắc Sơn,108
Khánh Sơn,107
Krông Pa,106
Tân Thành,106
Côn Đảo,106
Thường Xuân,105
Như Xuân,104
Thuận Châu,104
Vị Xuyên,102
Thành Phố Thuận An,101
Khánh Vĩnh,101
Thành Phố Cà Mau,100
Huyện Củ Chi,99
Thị Xã Bến Cát,99
Tiên Yên,98
Sơn Hà,98
Quận Nam Từ Liêm,97
Quận Long Biên,95
Đăk Glong,95
Huyện Thanh Trì,92
Phù Yên,92
Nghĩa Lộ,92
Huyện Chương Mỹ,92
Quận Hải An,91
Quận Thanh Xuân,91
Con Cuông,90
Tân Sơn,89
Huyện Cai Lậy,89
Sông Mã,89
Quận Đống Đa,87
Quận Ninh Kiều,86
Thành Phố Quảng Ngãi,86
Thành Phố Quy Nhơn,85
Huyện Thanh Oai,85
Văn Quan,85
Mai Châu,85
Cao Phong,85
Thành phố Dĩ An,83
Ayun Pa,83
Trà Bồng,83
Tuần Giáo,83
Văn Bàn,83
Quận Tân Bình,82
Krông Ana,82
Nông Sơn,81
Quảng Hòa,81
Ia Pa,80
Yên Thủy,80
Tràng Định,80
Kbang,79
Huyện Thạch Thất,79
Trùng Khánh,77
Yên Châu,77
Văn Lãng,77
Đa Krông,76
Lý Sơn,76
Quận 10,74
Bắc Trà My,73
Bát Xát,72
Chợ Đồn,72
Bình Gia,71
Bảo Yên,70
Đông Giang,70
Đầm Hà,69
Thành Phố Đà Lạt,69
Đắk Glong,68
M'đrắk,68
Thành Phố Dĩ An,68
Quận Cầu Giấy,68
Quế Phong,67
Phước Sơn,66
Nam Đông,66
Huyện Chợ Gạo,65
Thị Xã Cai Lậy,65
Thiệu Hoá,65
Minh Hóa,65
Thị Xã An Nhơn,65
Thành Phố Vinh,65
Đà Bắc,65
Quận Bắc Từ Liêm,64
Quỳ Châu,64
Huyện An Dương,63
Huyện Trần Văn Thời,63
Huyện Hóc Môn,62
Huyện Phong Điền,60
Thành phố Tân Uyên,60
Kông Chro,60
Đắk Glei,60
Huyện Nhơn Trạch,60
Tương Dương,60
Quận Lê Chân,60
Ba Bể,59
Huyện Tân Phước,58
Huyện Hoài Đức,58
Quận Tân Phú,57
Quận Bình Thuỷ,57
Thành Phố Pleiku,57
Hoà An,56
Hà Quảng,56
Than Uyên,55
Thị Xã Phú Mỹ,55
Quận Bình Thạnh,54
Thành Phố Long Khánh,54
Nam Giang,54
Huyện Cái Bè,53
Bắc Hà,53
Ngân Sơn,53
Huyện Đông Anh,52
Bình Liêu,52
Kiến Thụy,52
Phong Thổ,51
Huyện Sơn Hà,51
Mường Tè,51
Sìn Hồ,51
Huyện Đăk Đoa,50
Na Hang,50
